student_id,gender,parental_education,lunch,test_prep_course,weekly_study_hours,attendance_percent,math_score,reading_score,writing_score,average_score,grade,result,z_score,performance_flag
1,female,some college,standard,none,11.4,66.6,84.4,77.2,74.2,78.6,C,Pass,0.13,Average
2,female,bachelor's degree,free/reduced,completed,12.9,83.4,83.3,83.5,82.1,83.0,B,Pass,0.73,Average
3,female,bachelor's degree,standard,none,5.5,89.2,77.7,85.8,84.5,82.7,B,Pass,0.69,Average
4,female,some college,standard,none,7.4,88.4,69.5,78.0,73.7,73.7,C,Pass,-0.53,Average
5,female,associate's degree,standard,none,11.7,88.6,60.8,77.7,91.4,76.6,C,Pass,-0.14,Average
6,female,some college,standard,completed,16.5,82.1,94.3,100.0,98.1,97.5,A,Pass,2.7,Top Performer
7,female,some college,free/reduced,completed,6.3,100.0,66.6,89.1,74.1,76.6,C,Pass,-0.14,Average
8,male,some college,free/reduced,none,3.7,99.2,75.0,85.2,77.5,79.2,C,Pass,0.21,Average
9,male,high school,free/reduced,none,13.9,83.5,61.6,81.9,67.1,70.2,C,Pass,-1.01,Average
10,male,high school,standard,completed,16.1,74.6,72.2,88.7,92.1,84.3,B,Pass,0.91,Average
11,male,associate's degree,standard,completed,8.7,100.0,87.6,87.5,89.5,88.2,B,Pass,1.44,Average
12,female,associate's degree,free/reduced,none,1.1,78.9,65.1,61.2,68.9,65.1,D,Fail,-1.7,Needs Support
13,female,some high school,free/reduced,completed,15.8,96.4,85.7,91.2,90.3,89.1,B,Pass,1.56,Top Performer
14,male,associate's degree,standard,none,9.2,100.0,68.0,80.1,72.9,73.7,C,Pass,-0.53,Average
15,male,bachelor's degree,standard,completed,14.5,75.0,96.1,91.2,87.9,91.7,A,Pass,1.91,Top Performer
16,female,some college,standard,none,9.8,87.3,63.6,78.7,80.4,74.2,C,Pass,-0.46,Average
17,male,some high school,standard,none,8.5,80.9,66.8,65.3,67.3,66.5,D,Fail,-1.51,Needs Support
18,female,associate's degree,free/reduced,completed,8.2,89.6,72.7,75.7,87.1,78.5,C,Pass,0.12,Average
19,male,high school,standard,none,15.9,87.6,77.8,83.6,67.7,76.4,C,Pass,-0.17,Average
20,male,associate's degree,standard,completed,15.7,100.0,99.7,100.0,93.8,97.8,A,Pass,2.74,Top Performer
21,female,some college,standard,none,1.4,90.3,61.5,72.1,64.2,65.9,D,Fail,-1.59,Needs Support
22,male,associate's degree,standard,completed,6.3,84.3,84.6,85.2,86.0,85.3,B,Pass,1.04,Average
23,male,high school,free/reduced,completed,17.1,95.7,92.9,95.6,86.9,91.8,A,Pass,1.92,Top Performer
24,male,some college,standard,none,8.5,81.7,59.4,67.1,77.1,67.9,D,Fail,-1.32,Average
25,female,some college,free/reduced,completed,4.6,80.8,63.2,75.4,74.6,71.1,C,Pass,-0.88,Average
26,male,associate's degree,standard,none,10.0,100.0,75.6,71.2,100.0,82.3,B,Pass,0.64,Average
27,female,high school,standard,completed,9.6,76.2,75.4,91.3,80.7,82.5,B,Pass,0.66,Average
28,male,master's degree,free/reduced,none,9.6,79.5,76.0,77.0,74.3,75.8,C,Pass,-0.25,Average
29,male,high school,free/reduced,none,8.1,84.9,52.4,65.9,61.6,60.0,D,Fail,-2.39,Needs Support
30,female,high school,standard,completed,8.8,73.8,84.7,67.8,92.5,81.7,B,Pass,0.55,Average
31,female,high school,standard,completed,8.2,63.3,82.6,76.9,75.6,78.4,C,Pass,0.11,Average
32,female,some high school,standard,none,11.3,95.0,74.4,86.5,84.5,81.8,B,Pass,0.57,Average
33,female,some college,free/reduced,completed,6.7,76.6,63.2,76.2,72.1,70.5,C,Pass,-0.97,Average
34,female,associate's degree,standard,none,8.8,79.0,74.2,74.4,79.2,75.9,C,Pass,-0.23,Average
35,female,associate's degree,standard,completed,9.4,80.7,78.8,90.8,83.5,84.4,B,Pass,0.92,Average
36,female,high school,free/reduced,completed,15.2,74.6,86.7,72.0,89.2,82.6,B,Pass,0.68,Average
37,female,some high school,standard,none,11.5,73.7,72.0,74.4,70.6,72.3,C,Pass,-0.72,Average
38,female,high school,free/reduced,none,9.6,86.0,75.4,78.5,65.9,73.3,C,Pass,-0.59,Average
39,male,associate's degree,standard,completed,12.1,100.0,85.5,82.4,91.1,86.3,B,Pass,1.18,Average
40,female,some college,standard,none,11.6,91.8,89.5,74.3,70.4,78.1,C,Pass,0.07,Average
41,male,bachelor's degree,standard,completed,14.4,91.9,72.9,91.5,81.5,82.0,B,Pass,0.59,Average
42,male,associate's degree,standard,completed,12.0,69.4,76.1,81.0,87.4,81.5,B,Pass,0.53,Average
43,female,associate's degree,standard,none,17.2,84.2,88.0,82.0,68.3,79.4,C,Pass,0.24,Average
44,male,associate's degree,standard,none,15.4,72.6,68.3,78.9,81.0,76.1,C,Pass,-0.21,Average
45,female,associate's degree,standard,none,9.8,92.1,83.1,83.0,77.1,81.1,B,Pass,0.47,Average
46,female,high school,standard,none,8.3,82.1,62.0,68.0,67.3,65.8,D,Fail,-1.6,Needs Support
47,male,high school,standard,completed,13.5,84.8,86.5,78.0,84.3,82.9,B,Pass,0.72,Average
48,male,some college,free/reduced,none,12.1,83.5,65.9,76.7,75.7,72.8,C,Pass,-0.65,Average
49,male,some college,standard,none,9.6,78.6,70.2,82.7,67.4,73.4,C,Pass,-0.57,Average
50,male,some high school,standard,none,4.1,69.2,65.3,76.3,62.6,68.1,D,Fail,-1.29,Average
51,male,some college,free/reduced,none,2.7,90.2,63.0,62.2,73.2,66.1,D,Fail,-1.56,Needs Support
52,female,associate's degree,standard,none,11.4,70.6,72.7,86.2,82.4,80.4,B,Pass,0.38,Average
53,female,some high school,standard,completed,13.1,72.6,99.5,88.0,81.9,89.8,B,Pass,1.65,Top Performer
54,male,some high school,standard,completed,13.2,81.4,83.8,80.7,74.3,79.6,C,Pass,0.27,Average
55,female,high school,standard,completed,4.9,77.3,67.4,83.3,73.1,74.6,C,Pass,-0.41,Average
56,female,high school,standard,completed,14.1,87.0,94.2,93.7,82.8,90.2,A,Pass,1.71,Top Performer
