student_id,gender,parental_education,lunch,test_prep_course,weekly_study_hours,attendance_percent,math_score,reading_score,writing_score,average_score
1,female,some college,standard,none,11.4,66.6,84.4,77.2,74.2,78.6
2,female,bachelor's degree,free/reduced,completed,12.9,83.4,83.3,83.5,82.1,83.0
3,female,bachelor's degree,standard,none,5.5,89.2,77.7,85.8,84.5,82.7
4,female,some college,standard,none,7.4,88.4,69.5,78.0,73.7,73.7
5,female,associate's degree,standard,none,11.7,88.6,60.8,77.7,91.4,76.6
6,female,some college,standard,completed,16.5,82.1,94.3,100.0,98.1,97.5
7,female,some college,free/reduced,completed,6.3,100.0,66.6,89.1,74.1,76.6
8,male,some college,free/reduced,none,3.7,99.2,75.0,85.2,77.5,79.2
9,male,high school,free/reduced,none,13.9,83.5,61.6,81.9,67.1,70.2
10,male,high school,standard,completed,16.1,74.6,72.2,88.7,92.1,84.3
11,male,associate's degree,standard,completed,8.7,100.0,87.6,87.5,89.5,88.2
12,female,associate's degree,free/reduced,none,1.1,78.9,65.1,61.2,68.9,65.1
13,female,some high school,free/reduced,completed,15.8,96.4,85.7,91.2,90.3,89.1
14,male,associate's degree,standard,none,9.2,100.0,68.0,80.1,72.9,73.7
15,male,bachelor's degree,standard,completed,14.5,75.0,96.1,91.2,87.9,91.7
16,female,some college,standard,none,9.8,87.3,63.6,78.7,80.4,74.2
17,male,some high school,standard,none,8.5,80.9,66.8,65.3,67.3,66.5
18,female,associate's degree,free/reduced,completed,8.2,89.6,72.7,75.7,87.1,78.5
19,male,high school,standard,none,15.9,87.6,77.8,83.6,67.7,76.4
20,male,associate's degree,standard,completed,15.7,100.0,99.7,100.0,93.8,97.8
21,female,some college,standard,none,1.4,90.3,61.5,72.1,64.2,65.9
22,male,associate's degree,standard,completed,6.3,84.3,84.6,85.2,86.0,85.3
23,male,high school,free/reduced,completed,17.1,95.7,92.9,95.6,86.9,91.8
24,male,some college,standard,none,8.5,81.7,59.4,67.1,77.1,67.9
25,female,some college,free/reduced,completed,4.6,80.8,63.2,75.4,74.6,71.1
26,male,associate's degree,standard,none,10.0,100.0,75.6,71.2,100.0,82.3
27,female,high school,standard,completed,9.6,76.2,75.4,91.3,80.7,82.5
28,male,master's degree,free/reduced,none,9.6,79.5,76.0,77.0,74.3,75.8
29,male,high school,free/reduced,none,8.1,84.9,52.4,65.9,61.6,60.0
30,female,high school,standard,completed,8.8,73.8,84.7,67.8,92.5,81.7
31,female,high school,standard,completed,8.2,63.3,82.6,76.9,75.6,78.4
32,female,some high school,standard,none,11.3,95.0,74.4,86.5,84.5,81.8
33,female,some college,free/reduced,completed,6.7,76.6,63.2,76.2,72.1,70.5
34,female,associate's degree,standard,none,8.8,79.0,74.2,74.4,79.2,75.9
35,female,associate's degree,standard,completed,9.4,80.7,78.8,90.8,83.5,84.4
36,female,high school,free/reduced,completed,15.2,74.6,86.7,72.0,89.2,82.6
37,female,some high school,standard,none,11.5,73.7,72.0,74.4,70.6,72.3
38,female,high school,free/reduced,none,9.6,86.0,75.4,78.5,65.9,73.3
39,male,associate's degree,standard,completed,12.1,100.0,85.5,82.4,91.1,86.3
40,female,some college,standard,none,11.6,91.8,89.5,74.3,70.4,78.1
41,male,bachelor's degree,standard,completed,14.4,91.9,72.9,91.5,81.5,82.0
42,male,associate's degree,standard,completed,12.0,69.4,76.1,81.0,87.4,81.5
43,female,associate's degree,standard,none,17.2,84.2,88.0,82.0,68.3,79.4
44,male,associate's degree,standard,none,15.4,72.6,68.3,78.9,81.0,76.1
45,female,associate's degree,standard,none,9.8,92.1,83.1,83.0,77.1,81.1
46,female,high school,standard,none,8.3,82.1,62.0,68.0,67.3,65.8
47,male,high school,standard,completed,13.5,84.8,86.5,78.0,84.3,82.9
48,male,some college,free/reduced,none,12.1,83.5,65.9,76.7,75.7,72.8
49,male,some college,standard,none,9.6,78.6,70.2,82.7,67.4,73.4
50,male,some high school,standard,none,4.1,69.2,65.3,76.3,62.6,68.1
51,male,some college,free/reduced,none,2.7,90.2,63.0,62.2,73.2,66.1
52,female,associate's degree,standard,none,11.4,70.6,72.7,86.2,82.4,80.4
53,female,some high school,standard,completed,13.1,72.6,99.5,88.0,81.9,89.8
54,male,some high school,standard,completed,13.2,81.4,83.8,80.7,74.3,79.6
55,female,high school,standard,completed,4.9,77.3,67.4,83.3,73.1,74.6
56,female,high school,standard,completed,14.1,87.0,94.2,93.7,82.8,90.2
57,female,master's degree,free/reduced,none,7.9,94.5,80.4,94.4,84.5,86.4
58,female,some high school,free/reduced,none,11.6,86.9,80.5,65.4,76.8,74.2
59,male,high school,standard,completed,11.7,86.4,98.3,87.3,84.2,89.9
60,female,high school,standard,none,6.8,84.6,62.9,73.9,84.6,73.8
61,male,some college,free/reduced,none,7.6,93.0,78.2,70.9,68.2,72.4
62,male,some high school,standard,none,1.7,66.0,69.9,72.6,59.1,67.2
63,male,some college,free/reduced,completed,6.3,88.1,75.6,84.4,74.7,78.2
64,male,high school,free/reduced,none,2.8,75.1,62.5,56.3,77.2,65.3
65,female,high school,free/reduced,none,11.7,72.1,45.9,69.8,55.5,57.1
66,male,bachelor's degree,free/reduced,none,10.2,84.5,69.1,76.9,75.4,73.8
67,male,high school,standard,completed,13.7,80.5,99.6,71.2,85.2,85.3
68,male,associate's degree,free/reduced,none,11.4,90.2,60.4,82.5,74.0,72.3
69,female,some college,standard,none,7.5,95.4,69.6,78.6,95.8,81.3
70,female,some college,standard,none,11.4,61.2,75.4,75.3,82.3,77.7
71,female,bachelor's degree,standard,none,8.4,83.7,80.2,82.7,85.1,82.7
72,male,high school,standard,completed,12.4,100.0,99.9,100.0,78.3,92.7
73,female,bachelor's degree,free/reduced,completed,11.3,93.1,70.0,88.1,92.1,83.4
74,male,bachelor's degree,free/reduced,completed,6.0,98.9,79.6,80.1,79.9,79.9
75,male,associate's degree,standard,completed,10.0,85.4,91.3,97.9,84.2,91.1
76,male,some high school,standard,none,10.2,70.1,60.2,65.5,69.1,64.9
77,female,associate's degree,standard,none,8.8,73.2,72.9,72.3,72.3,72.5
78,female,associate's degree,standard,none,13.6,91.5,96.3,72.4,87.0,85.2
79,female,associate's degree,free/reduced,none,16.9,94.0,91.8,91.3,93.7,92.3
80,male,high school,free/reduced,none,8.5,77.1,71.5,70.4,74.2,72.0
81,female,master's degree,free/reduced,none,8.6,81.7,51.8,81.6,79.0,70.8
82,male,bachelor's degree,free/reduced,none,1.0,87.0,62.9,71.4,54.2,62.8
83,female,some high school,free/reduced,completed,9.5,66.9,76.6,74.3,84.4,78.4
84,female,high school,standard,completed,8.3,80.9,76.9,76.1,91.2,81.4
85,male,some high school,standard,none,1.4,100.0,65.0,64.6,67.3,65.6
86,female,bachelor's degree,standard,completed,11.2,100.0,100.0,95.9,89.4,95.1
87,female,bachelor's degree,free/reduced,completed,12.4,83.3,82.2,87.3,92.1,87.2
88,female,master's degree,standard,completed,7.1,100.0,78.0,100.0,86.1,88.0
89,female,associate's degree,standard,none,8.5,79.2,75.8,71.7,83.1,76.9
90,female,associate's degree,standard,completed,6.1,76.3,76.3,79.0,75.9,77.1
91,male,associate's degree,standard,none,13.1,62.0,73.8,65.6,65.2,68.2
92,female,some college,free/reduced,none,3.9,94.0,65.1,84.5,73.0,74.2
93,male,master's degree,standard,none,8.7,80.7,82.9,68.2,65.6,72.2
94,male,associate's degree,standard,completed,17.8,100.0,97.1,98.2,91.2,95.5
95,male,high school,free/reduced,none,10.2,87.7,61.0,83.0,73.5,72.5
96,female,some college,free/reduced,none,11.9,86.3,72.3,75.6,65.8,71.2
97,female,some high school,standard,none,9.4,66.4,73.1,77.0,77.5,75.9
98,female,associate's degree,standard,none,5.3,99.4,69.6,63.4,75.2,69.4
99,female,associate's degree,standard,none,9.9,80.8,84.8,75.8,82.3,81.0
100,female,some college,free/reduced,none,11.6,82.8,78.8,62.7,76.5,72.7
101,female,bachelor's degree,free/reduced,completed,5.9,62.4,65.7,79.2,76.0,73.6
102,male,associate's degree,standard,none,11.4,93.7,81.7,79.7,73.7,78.4
103,female,high school,standard,none,15.0,94.3,96.7,76.0,67.9,80.2
104,female,some high school,standard,completed,14.3,78.4,96.9,91.5,79.2,89.2
105,male,some high school,standard,none,3.7,85.4,65.4,71.8,61.4,66.2
106,male,high school,standard,completed,6.1,88.4,85.3,75.5,91.8,84.2
107,female,high school,standard,completed,3.5,94.1,70.8,78.4,90.8,80.0
108,male,some college,standard,completed,14.3,85.5,76.3,73.7,74.6,74.9
109,female,bachelor's degree,standard,none,12.4,100.0,86.9,84.6,91.0,87.5
110,male,high school,standard,none,12.8,82.0,78.6,91.9,74.8,81.8
111,male,bachelor's degree,standard,completed,6.5,78.4,84.8,76.3,79.3,80.1
112,male,associate's degree,standard,none,5.3,79.8,70.2,76.3,75.0,73.8
113,male,bachelor's degree,standard,completed,10.3,59.1,84.6,75.6,86.4,82.2
114,female,some college,standard,none,10.4,76.4,70.2,83.2,71.9,75.1
115,male,some high school,standard,none,6.6,94.5,74.2,76.2,68.6,73.0
116,male,associate's degree,standard,completed,10.6,87.1,92.0,83.1,85.9,87.0
117,female,high school,free/reduced,none,12.6,76.3,71.0,59.4,65.2,65.2
118,female,some high school,standard,none,10.9,87.9,80.7,72.8,77.1,76.9
119,male,bachelor's degree,standard,completed,5.8,64.3,63.7,87.9,78.4,76.7
120,female,associate's degree,free/reduced,none,1.5,81.6,56.3,68.9,65.5,63.6
121,male,high school,free/reduced,completed,9.0,89.7,89.1,83.5,71.8,81.5
122,female,high school,free/reduced,none,10.7,91.4,85.7,71.9,76.9,78.2
123,male,master's degree,free/reduced,none,9.0,76.7,74.4,59.3,79.3,71.0
124,female,high school,free/reduced,none,8.3,93.6,68.5,78.1,76.2,74.3
125,female,associate's degree,free/reduced,none,7.2,100.0,61.4,80.9,71.0,71.1
126,female,some high school,standard,none,12.9,80.2,78.1,71.8,80.9,76.9
127,female,bachelor's degree,free/reduced,completed,9.8,91.9,88.6,83.8,88.8,87.1
128,male,some high school,standard,none,10.5,68.9,59.0,71.7,72.2,67.6
129,female,some college,standard,none,6.1,64.8,72.3,67.1,80.2,73.2
130,male,some high school,standard,none,7.5,90.6,74.8,75.2,63.7,71.2
131,male,some college,standard,none,10.7,84.9,79.4,74.3,73.0,75.6
132,male,bachelor's degree,standard,completed,6.0,86.5,72.3,64.8,79.1,72.1
133,male,some high school,free/reduced,none,5.0,78.6,66.6,63.9,56.9,62.5
134,male,high school,free/reduced,none,8.7,81.5,56.0,64.6,82.6,67.7
135,female,associate's degree,free/reduced,completed,14.8,92.6,98.7,81.8,96.0,92.2
136,male,associate's degree,standard,none,10.8,100.0,80.5,83.8,65.4,76.6
137,male,high school,standard,none,15.8,82.3,70.7,73.2,78.0,74.0
138,female,associate's degree,free/reduced,completed,9.5,68.0,88.0,84.1,76.9,83.0
139,female,some college,standard,none,8.8,97.2,84.9,89.1,88.0,87.3
140,male,bachelor's degree,standard,completed,4.4,90.5,75.0,84.5,84.1,81.2
141,male,high school,standard,none,7.7,91.3,90.0,61.9,70.9,74.3
142,female,associate's degree,standard,none,15.7,86.3,74.8,77.9,83.7,78.8
143,male,associate's degree,standard,none,11.3,100.0,82.5,88.2,81.8,84.2
144,male,associate's degree,standard,none,12.9,85.2,89.1,76.7,77.1,81.0
145,male,some college,standard,none,12.8,89.6,60.8,71.9,74.5,69.1
146,female,associate's degree,free/reduced,none,10.0,65.9,77.5,71.8,71.1,73.5
147,male,associate's degree,standard,none,9.2,78.7,74.0,79.0,77.3,76.8
148,female,some college,free/reduced,none,10.5,77.6,70.4,76.0,64.8,70.4
149,female,some high school,standard,none,12.7,84.2,67.0,82.3,76.0,75.1
150,male,master's degree,free/reduced,none,11.8,88.0,79.9,71.8,75.7,75.8
151,female,associate's degree,free/reduced,none,12.0,77.0,64.4,74.0,71.8,70.1
152,female,high school,free/reduced,completed,10.6,100.0,73.1,82.8,90.6,82.2
153,male,associate's degree,standard,none,6.9,73.8,67.7,72.5,61.6,67.3
154,female,high school,free/reduced,completed,9.0,80.0,66.2,62.8,77.5,68.8
155,female,some college,standard,none,6.2,86.9,83.9,74.8,69.6,76.1
156,female,bachelor's degree,standard,completed,14.0,72.0,77.4,77.5,93.2,82.7
157,female,some college,standard,none,1.6,90.2,60.6,85.6,70.6,72.3
158,female,high school,standard,none,9.1,90.8,71.3,90.2,77.2,79.6
159,male,high school,standard,none,19.5,81.6,84.0,92.4,79.6,85.3
160,male,some high school,standard,completed,8.6,100.0,87.8,88.8,69.8,82.1
161,female,high school,standard,none,5.5,85.3,75.5,70.6,77.1,74.4
162,male,high school,standard,none,9.9,87.3,71.8,82.2,67.0,73.7
163,female,high school,free/reduced,none,15.2,74.9,71.0,73.2,71.9,72.0
164,female,some high school,standard,completed,9.4,67.7,77.7,83.6,78.8,80.0
165,male,some college,standard,none,12.5,78.2,83.4,68.4,79.7,77.2
166,female,high school,standard,none,10.4,81.3,79.4,71.9,81.2,77.5
167,male,associate's degree,standard,none,8.5,79.9,69.8,78.6,86.6,78.3
168,male,bachelor's degree,standard,completed,22.6,92.2,84.0,100.0,95.2,93.1
169,male,high school,free/reduced,none,10.3,60.6,83.7,65.6,60.7,70.0
170,female,some college,standard,none,7.9,73.1,78.6,92.5,70.4,80.5
171,female,some college,standard,none,8.0,66.2,72.3,95.0,77.7,81.7
172,female,some high school,standard,none,11.5,97.9,79.1,69.4,90.1,79.5
173,female,some high school,standard,none,11.6,78.8,69.5,75.2,76.9,73.9
174,female,bachelor's degree,free/reduced,completed,13.1,79.3,76.1,78.4,82.6,79.0
175,male,some college,free/reduced,none,10.6,73.5,67.4,69.1,70.6,69.0
176,male,bachelor's degree,standard,none,4.3,93.5,70.7,72.6,77.2,73.5
177,female,some high school,standard,completed,12.1,80.4,77.4,82.7,84.0,81.4
178,male,associate's degree,standard,completed,8.8,86.7,71.6,91.4,78.1,80.4
179,male,bachelor's degree,standard,completed,8.9,64.1,78.7,87.7,61.7,76.0
180,male,bachelor's degree,free/reduced,none,4.1,96.2,73.3,76.1,68.5,72.6
181,female,some high school,free/reduced,none,7.7,88.4,62.8,72.0,78.8,71.2
182,male,some college,free/reduced,none,7.1,90.0,68.9,72.7,71.5,71.0
183,female,high school,free/reduced,none,9.9,96.9,55.0,77.5,58.8,63.8
184,female,associate's degree,standard,completed,4.2,82.6,75.9,87.7,84.4,82.7
185,female,some high school,standard,completed,10.2,82.8,79.7,82.7,69.4,77.3
186,male,high school,standard,completed,10.5,91.7,73.7,87.1,97.5,86.1
187,female,bachelor's degree,free/reduced,none,5.5,88.8,55.4,66.0,77.2,66.2
188,female,some college,standard,none,7.5,82.1,75.3,82.7,66.7,74.9
189,male,some college,standard,none,6.6,84.9,64.9,87.3,77.8,76.7
190,male,master's degree,free/reduced,none,13.6,79.5,81.8,79.0,70.0,76.9
191,male,high school,standard,none,0.0,91.7,60.6,58.5,72.2,63.8
192,female,some high school,standard,none,8.6,93.9,77.6,87.6,75.9,80.4
193,male,some college,standard,none,3.4,84.6,65.1,68.9,61.1,65.0
194,male,high school,free/reduced,none,8.3,100.0,58.2,49.6,76.0,61.3
195,female,some high school,standard,none,13.4,69.1,73.4,72.6,63.4,69.8
196,male,some college,standard,completed,7.5,82.2,77.3,85.4,90.6,84.4
197,female,master's degree,standard,none,10.6,100.0,86.9,89.5,86.0,87.5
198,male,some college,standard,none,6.6,80.3,67.1,82.3,63.2,70.9
199,female,associate's degree,standard,completed,17.8,68.5,87.3,93.1,75.4,85.3
200,male,high school,free/reduced,completed,13.7,98.5,90.9,84.3,94.6,89.9
201,male,some college,standard,completed,14.5,90.0,98.2,71.0,96.8,88.7
202,female,associate's degree,free/reduced,completed,4.7,72.6,78.7,69.3,70.0,72.7
203,male,some college,standard,completed,5.6,92.3,87.7,83.2,93.8,88.2
204,female,bachelor's degree,free/reduced,none,14.3,74.3,80.3,83.8,79.0,81.0
205,female,some college,standard,completed,9.2,71.1,86.4,74.1,81.6,80.7
206,male,high school,free/reduced,none,9.0,83.0,75.5,65.1,67.4,69.3
207,male,some college,free/reduced,none,11.3,79.7,75.1,75.8,68.2,73.0
208,female,some college,standard,completed,5.0,73.5,76.4,65.1,92.1,77.9
209,male,high school,standard,none,13.1,80.9,77.9,59.7,74.2,70.6
210,female,associate's degree,standard,none,10.1,74.5,94.1,75.9,63.4,77.8
211,female,bachelor's degree,standard,none,11.9,85.1,79.8,84.6,97.4,87.3
212,male,some high school,standard,none,7.3,84.3,67.8,67.2,75.7,70.2
213,male,some college,free/reduced,completed,12.1,92.0,79.5,64.2,73.7,72.5
214,female,associate's degree,standard,completed,7.2,80.0,80.2,84.6,82.8,82.5
215,male,some college,standard,none,13.8,71.2,79.2,64.3,66.3,69.9
216,female,high school,standard,none,14.5,71.3,67.8,82.1,76.3,75.4
217,female,some college,standard,completed,13.6,82.1,70.9,86.5,90.9,82.8
218,male,some college,standard,completed,12.1,99.9,90.0,89.4,88.4,89.3
219,female,associate's degree,standard,none,12.5,93.0,67.5,88.4,77.7,77.9
220,female,some college,standard,completed,0.0,78.1,73.2,74.1,73.6,73.6
221,female,some high school,standard,completed,13.3,94.0,86.9,93.5,93.5,91.3
222,female,bachelor's degree,standard,completed,8.9,72.9,91.8,95.1,85.7,90.9
223,female,bachelor's degree,free/reduced,completed,10.4,94.7,96.8,90.9,100.0,95.9
224,female,some high school,standard,completed,8.9,80.7,81.8,91.9,76.0,83.2
225,female,high school,standard,none,4.4,92.2,64.5,70.5,80.5,71.8
226,male,high school,standard,completed,7.8,90.8,71.0,88.6,81.3,80.3
227,male,bachelor's degree,standard,completed,12.6,81.7,81.6,88.6,80.6,83.6
228,female,bachelor's degree,standard,none,15.7,87.8,84.5,77.6,94.6,85.6
229,male,some high school,standard,none,7.5,73.8,51.8,68.2,68.0,62.7
230,male,high school,standard,none,6.4,83.8,70.4,67.6,63.3,67.1
231,female,high school,free/reduced,none,15.8,95.4,77.8,75.4,75.9,76.4
232,female,some college,free/reduced,completed,6.5,100.0,82.7,84.5,92.0,86.4
233,female,bachelor's degree,free/reduced,completed,18.3,91.6,89.0,100.0,83.0,90.7
234,female,some high school,standard,completed,10.2,85.4,81.9,80.7,94.0,85.5
235,female,high school,standard,none,6.5,74.4,62.6,73.7,77.3,71.2
236,male,some college,standard,none,13.9,95.2,77.3,68.6,75.8,73.9
237,female,some college,standard,completed,16.8,67.9,73.9,87.0,96.9,85.9
238,male,associate's degree,free/reduced,none,4.3,76.5,65.7,77.6,80.2,74.5
239,female,some college,standard,completed,16.2,88.1,100.0,96.7,95.0,97.2
240,female,some high school,standard,none,8.9,72.4,70.9,76.1,72.8,73.3
241,female,high school,free/reduced,none,15.9,100.0,81.7,76.7,93.1,83.8
242,male,master's degree,standard,none,8.5,95.5,70.8,73.5,90.6,78.3
243,female,associate's degree,standard,none,3.7,78.8,79.9,74.1,67.6,73.9
244,female,some high school,free/reduced,none,12.0,79.0,63.9,61.9,69.9,65.2
245,male,bachelor's degree,standard,none,13.7,71.3,86.0,67.8,74.4,76.1
246,female,high school,standard,completed,18.4,70.5,89.9,93.7,83.6,89.1
247,female,associate's degree,standard,completed,16.9,89.0,84.9,85.0,81.4,83.8
248,female,some high school,free/reduced,none,12.8,90.8,80.9,89.8,80.9,83.9
249,male,bachelor's degree,standard,none,9.0,88.1,77.1,67.2,77.4,73.9
250,female,high school,standard,none,7.9,87.2,73.4,79.9,76.2,76.5
251,male,some college,free/reduced,completed,8.8,78.9,80.6,68.3,88.0,79.0
252,male,associate's degree,free/reduced,none,6.7,88.2,69.0,73.9,66.6,69.8
253,male,some college,free/reduced,completed,8.9,69.8,72.6,67.4,75.2,71.7
254,male,high school,free/reduced,none,0.0,84.6,62.6,65.2,65.5,64.4
255,female,some high school,standard,none,10.7,99.3,72.4,78.2,74.7,75.1
256,male,high school,standard,none,9.9,97.8,76.3,73.4,73.9,74.5
257,male,some high school,standard,completed,20.3,79.9,85.9,89.1,89.9,88.3
258,male,high school,standard,none,13.0,81.2,64.8,87.1,73.0,75.0
259,male,some high school,free/reduced,completed,8.1,98.4,71.3,73.9,87.9,77.7
260,male,some college,standard,none,12.3,100.0,75.9,87.3,72.3,78.5
261,male,high school,standard,none,5.1,69.5,66.4,68.5,67.9,67.6
